Trip id,City,Timestamp,Pickup zone, Pickup lat , Pickup lng ,Drop zone, Drop lat , Drop lng ,Distance km,Trip Duration min, Fare inr ,Payment type,Platform,Is shared,Driver ID,Customer ID,Hour,Weekday,Date,Month,Vehicle Type
3022,Chennai,14-01-2024 23:11,Ambattur, 13.11 , 80.17 ,Ambattur, 13.10 , 80.18 ,0.97,5, 79.51 ,Card,App,0,D0591,C005390,23,Sunday,14-01-2024,January,Uber Go
3544,Chennai,13-02-2024 16:08,Adyar, 13.02 , 80.25 ,Anna Nagar, 13.09 , 80.20 ,9.73,27, 199.91 ,Card,App,0,D0341,C005437,16,Tuesday,13-02-2024,February,Auto
1074,Chennai,25-02-2024 06:33,T. Nagar, 13.04 , 80.24 ,Mylapore, 13.03 , 80.26 ,2.01,5, 72.35 ,Cash,App,0,D0633,C007064,6,Sunday,25-02-2024,February,Bike
3352,Chennai,21-02-2024 03:18,Guindy, 13.01 , 80.22 ,Madhavaram, 13.15 , 80.23 ,15.61,25, 288.79 ,UPI,App,0,D0600,C001430,3,Wednesday,21-02-2024,February,Auto
1745,Chennai,16-01-2024 22:26,Madhavaram, 13.15 , 80.23 ,Ambattur, 13.10 , 80.16 ,9.26,31, 179.64 ,Cash,App,0,D0311,C005004,22,Tuesday,16-01-2024,January,UberXL
1085,Chennai,22-02-2024 16:09,Sholinganallur, 12.93 , 80.22 ,Besant Nagar, 12.97 , 80.25 ,9.26,20, 130.63 ,Cash,App,0,D0730,C007838,16,Thursday,22-02-2024,February,Auto
927,Chennai,30-01-2024 02:24,Tambaram, 12.91 , 80.13 ,Mylapore, 13.03 , 80.26 ,19.6,54, 433.62 ,Card,App,0,D0192,C001437,2,Tuesday,30-01-2024,January,Uber Go
3050,Chennai,11-01-2024 17:15,Perambur, 13.11 , 80.23 ,Guindy, 13.01 , 80.22 ,8.6,25, 153.55 ,Card,App,0,D0419,C001263,17,Thursday,11-01-2024,January,Auto
1118,Chennai,01-02-2024 14:28,Sholinganallur, 12.94 , 80.22 ,T. Nagar, 13.05 , 80.24 ,11.91,36, 217.59 ,Card,App,0,D0296,C004879,14,Thursday,01-02-2024,February,Auto
643,Chennai,29-03-2024 20:33,Mylapore, 13.04 , 80.27 ,Chromepet, 12.96 , 80.14 ,19.08,45, 363.31 ,Card,App,0,D0773,C004350,20,Friday,29-03-2024,March,Uber Go
4768,Chennai,22-02-2024 13:14,Chromepet, 12.96 , 80.13 ,T. Nagar, 13.05 , 80.24 ,14.6,35, 295.53 ,Card,App,0,D0012,C000639,13,Thursday,22-02-2024,February,Bike
502,Chennai,25-03-2024 13:28,Guindy, 13.01 , 80.21 ,Sholinganallur, 12.93 , 80.23 ,9.57,16, 184.19 ,Cash,Call,0,D0194,C006318,13,Monday,25-03-2024,March,Uber Go
4067,Chennai,18-03-2024 02:35,Madhavaram, 13.14 , 80.23 ,Madhavaram, 13.14 , 80.23 ,0.5,5, 49.26 ,Card,App,0,D0634,C000313,2,Monday,18-03-2024,March,Uber Go
334,Chennai,26-01-2024 08:20,Velachery, 12.99 , 80.22 ,Madhavaram, 13.15 , 80.23 ,17.54,49, 291.53 ,Card,App,0,D0319,C006759,8,Friday,26-01-2024,January,Auto
4685,Chennai,10-01-2024 12:23,Guindy, 13.01 , 80.23 ,Thiruvanmiyur, 12.99 , 80.27 ,4.53,18, 101.71 ,Cash,App,0,D0140,C003907,12,Wednesday,10-01-2024,January,Uber Go
487,Chennai,26-03-2024 01:53,Madhavaram, 13.15 , 80.22 ,Mylapore, 13.03 , 80.28 ,14.6,23, 257.35 ,Card,App,0,D0033,C004603,1,Tuesday,26-03-2024,March,Uber Go
1963,Chennai,18-02-2024 22:17,Anna Nagar, 13.10 , 80.21 ,Velachery, 12.99 , 80.21 ,12.01,46, 283.66 ,Cash,App,0,D0458,C000104,22,Sunday,18-02-2024,February,Uber Go
394,Chennai,09-01-2024 21:53,Perambur, 13.12 , 80.22 ,Ambattur, 13.10 , 80.16 ,6.35,16, 159.29 ,Cash,App,1,D0460,C007847,21,Tuesday,09-01-2024,January,Uber Go
4843,Chennai,17-03-2024 15:20,Madhavaram, 13.15 , 80.22 ,Velachery, 12.99 , 80.22 ,18.21,34, 411.59 ,Card,App,0,D0619,C003983,15,Sunday,17-03-2024,March,Uber Go
4867,Chennai,10-02-2024 09:36,Ambattur, 13.10 , 80.16 ,Besant Nagar, 12.99 , 80.25 ,16.33,44, 358.80 ,Cash,App,0,D0243,C000790,9,Saturday,10-02-2024,February,Bike
1756,Chennai,14-01-2024 00:38,Mylapore, 13.03 , 80.27 ,Chromepet, 12.97 , 80.15 ,15.16,44, 314.72 ,UPI,App,0,D0588,C002325,0,Sunday,14-01-2024,January,Uber Go
2516,Chennai,30-01-2024 06:23,Ambattur, 13.10 , 80.15 ,Guindy, 13.01 , 80.21 ,13.09,27, 248.95 ,Cash,App,0,D0327,C005684,6,Tuesday,30-01-2024,January,Auto
3586,Chennai,21-02-2024 03:44,Thiruvanmiyur, 12.99 , 80.27 ,Madhavaram, 13.15 , 80.22 ,19.7,59, 382.31 ,Card,App,0,D0040,C000206,3,Wednesday,21-02-2024,February,Uber Go
4316,Chennai,29-03-2024 23:00,Ambattur, 13.10 , 80.16 ,Sholinganallur, 12.93 , 80.22 ,20.14,40, 449.49 ,Card,App,0,D0591,C006571,23,Friday,29-03-2024,March,Uber Go
4967,Chennai,22-02-2024 03:09,Velachery, 12.99 , 80.22 ,Sholinganallur, 12.94 , 80.24 ,6.11,21, 154.41 ,Cash,App,0,D0652,C004744,3,Thursday,22-02-2024,February,UberXL
2100,Chennai,12-03-2024 06:59,Velachery, 12.99 , 80.23 ,T. Nagar, 13.05 , 80.24 ,7.18,21, 147.49 ,Cash,Call,0,D0503,C003733,6,Tuesday,12-03-2024,March,Auto
3600,Chennai,21-01-2024 12:59,Velachery, 12.98 , 80.23 ,Adyar, 13.01 , 80.25 ,4.65,5, 119.66 ,Cash,App,0,D0127,C005221,12,Sunday,21-01-2024,January,Uber Go
4122,Chennai,26-01-2024 18:21,Ambattur, 13.09 , 80.16 ,Tambaram, 12.92 , 80.13 ,18.58,37, 337.67 ,Cash,App,0,D0072,C005523,18,Friday,26-01-2024,January,Uber Go
30,Chennai,04-03-2024 20:04,Kodambakkam, 13.07 , 80.21 ,Thiruvanmiyur, 12.98 , 80.27 ,11.89,34, 283.65 ,Cash,App,0,D0750,C004317,20,Monday,04-03-2024,March,UberXL
66,Chennai,12-01-2024 08:41,Chromepet, 12.96 , 80.14 ,Mylapore, 13.02 , 80.26 ,17.24,39, 356.09 ,Card,App,0,D0269,C000596,8,Friday,12-01-2024,January,UberXL
839,Chennai,07-01-2024 15:05,Ambattur, 13.10 , 80.16 ,T. Nagar, 13.02 , 80.24 ,12.35,35, 211.98 ,Cash,Call,1,D0254,C004455,15,Sunday,07-01-2024,January,Uber Go
3907,Chennai,29-02-2024 11:40,Perambur, 13.12 , 80.22 ,Guindy, 13.01 , 80.21 ,12.13,25, 238.41 ,Card,Call,0,D0679,C006205,11,Thursday,29-02-2024,February,Auto
3774,Chennai,03-02-2024 10:54,Adyar, 13.01 , 80.25 ,Thiruvanmiyur, 12.98 , 80.27 ,3.81,5, 106.93 ,UPI,App,0,D0062,C006714,10,Saturday,03-02-2024,February,Bike
4636,Chennai,10-01-2024 22:55,Sholinganallur, 12.92 , 80.23 ,Kodambakkam, 13.07 , 80.21 ,15.67,42, 275.09 ,Cash,App,0,D0193,C002864,22,Wednesday,10-01-2024,January,Auto
3162,Chennai,20-03-2024 00:38,Ambattur, 13.09 , 80.17 ,Kodambakkam, 13.07 , 80.21 ,3.51,15, 275.09 ,Cash,App,0,D0423,C005459,0,Wednesday,20-03-2024,March,UberXL
2660,Chennai,23-03-2024 03:52,Perambur, 13.10 , 80.23 ,Thiruvanmiyur, 12.98 , 80.26 ,12.99,16, 272.95 ,Cash,App,0,D0349,C005616,3,Saturday,23-03-2024,March,UberXL
4616,Chennai,18-02-2024 15:20,Mylapore, 13.03 , 80.27 ,Velachery, 13.00 , 80.23 ,4.81,5, 109.36 ,Cash,App,0,D0096,C003105,15,Sunday,18-02-2024,February,UberXL
4629,Chennai,22-03-2024 12:15,Adyar, 13.02 , 80.25 ,Chromepet, 12.95 , 80.13 ,14.95,29, 109.36 ,Cash,App,0,D0521,C007753,12,Friday,22-03-2024,March,Uber Go
2452,Chennai,09-03-2024 16:06,Perambur, 13.12 , 80.21 ,Velachery, 12.98 , 80.22 ,14.67,31, 322.93 ,UPI,App,0,D0133,C000556,16,Saturday,09-03-2024,March,Auto
2847,Chennai,05-02-2024 12:57,Tambaram, 12.92 , 80.14 ,Tambaram, 12.92 , 80.12 ,14.67,5, 59.95 ,Cash,Call,1,D0483,C005954,12,Monday,05-02-2024,February,Uber Go
1145,Chennai,17-02-2024 11:46,Sholinganallur, 12.93 , 80.23 ,Sholinganallur, 12.93 , 80.23 ,0.5,5, 40.00 ,Card,App,1,D0512,C002703,11,Saturday,17-02-2024,February,UberXL
3079,Chennai,17-03-2024 23:04,Adyar, 13.02 , 80.25 ,Madhavaram, 13.13 , 80.22 ,14.16,50, 257.67 ,UPI,App,0,D0332,C001274,23,Sunday,17-03-2024,March,UberXL
1104,Chennai,10-01-2024 06:36,Ambattur, 13.09 , 80.17 ,Kodambakkam, 13.06 , 80.22 ,6.47,11, 139.66 ,Cash,App,0,D0477,C000444,6,Wednesday,10-01-2024,January,Uber Go
169,Chennai,06-02-2024 08:30,Perambur, 13.12 , 80.22 ,Thiruvanmiyur, 12.98 , 80.26 ,16.12,50, 309.90 ,Cash,App,0,D0782,C001482,8,Tuesday,06-02-2024,February,Uber Go
1671,Chennai,20-03-2024 06:34,Thiruvanmiyur, 12.99 , 80.26 ,Madhavaram, 13.16 , 80.23 ,18.96,59, 333.70 ,UPI,App,1,D0388,C001943,6,Wednesday,20-03-2024,March,Auto
2571,Chennai,28-03-2024 18:47,Kodambakkam, 13.06 , 80.21 ,Velachery, 12.98 , 80.21 ,8.94,9, 232.02 ,Cash,App,1,D0090,C003638,18,Thursday,28-03-2024,March,Uber Go
2378,Chennai,22-02-2024 04:36,Velachery, 12.99 , 80.22 ,Chromepet, 12.97 , 80.13 ,10.67,15, 215.07 ,Cash,Call,0,D0490,C004752,4,Thursday,22-02-2024,February,UberXL
4396,Chennai,24-02-2024 05:07,Tambaram, 12.92 , 80.12 ,Ambattur, 13.09 , 80.16 ,10.67,58, 363.18 ,Cash,App,0,D0607,C007393,5,Saturday,24-02-2024,February,Uber Go
4258,Chennai,26-03-2024 12:49,Chromepet, 12.96 , 80.13 ,Besant Nagar, 12.97 , 80.26 ,14.04,39, 252.78 ,Cash,App,1,D0706,C003821,12,Tuesday,26-03-2024,March,Auto
3863,Chennai,05-01-2024 02:56,Perambur, 13.12 , 80.21 ,Adyar, 13.01 , 80.25 ,12.96,23, 237.30 ,Cash,App,0,D0279,C006191,2,Friday,05-01-2024,January,Uber Go
24,Chennai,24-02-2024 19:07,Velachery, 12.98 , 80.22 ,Velachery, 12.99 , 80.22 ,0.5,5, 50.00 ,Card,Call,0,D0770,C006555,19,Saturday,24-02-2024,February,Uber Go
2634,Chennai,12-03-2024 17:40,T. Nagar, 13.04 , 80.23 ,Kodambakkam, 13.06 , 80.21 ,4.84,25, 107.22 ,Cash,Call,0,D0699,C000238,17,Tuesday,12-03-2024,March,UberXL
3341,Chennai,21-03-2024 07:45,Sholinganallur, 12.93 , 80.22 ,Kodambakkam, 13.06 , 80.22 ,14.01,33, 264.74 ,Cash,App,1,D0404,C004795,7,Thursday,21-03-2024,March,Uber Go
2216,Chennai,24-02-2024 15:36,Madhavaram, 13.15 , 80.23 ,Sholinganallur, 12.93 , 80.23 ,25.88,60, 544.44 ,Card,Call,1,D0676,C004067,15,Saturday,24-02-2024,February,Bike
3683,Chennai,19-02-2024 10:51,Besant Nagar, 12.99 , 80.26 ,Mylapore, 13.03 , 80.27 ,3.9,15, 119.31 ,UPI,App,0,D0749,C003460,10,Monday,19-02-2024,February,UberXL
4725,Chennai,15-01-2024 23:02,Anna Nagar, 13.09 , 80.21 ,Anna Nagar, 13.09 , 80.20 ,0.5,5, 40.00 ,UPI,App,0,D0561,C005439,23,Monday,15-01-2024,January,Uber Go
1908,Chennai,03-02-2024 07:02,Guindy, 13.02 , 80.21 ,Madhavaram, 13.14 , 80.23 ,15.68,27, 245.01 ,Card,App,0,D0451,C000455,7,Saturday,03-02-2024,February,Bike
85,Chennai,21-01-2024 17:51,Anna Nagar, 13.08 , 80.21 ,Ambattur, 13.10 , 80.17 ,3.94,5, 98.67 ,Card,App,0,D0770,C002602,17,Sunday,21-01-2024,January,Uber Go
228,Chennai,16-02-2024 05:02,Chromepet, 12.95 , 80.14 ,Chromepet, 12.95 , 80.14 ,0.5,5, 46.69 ,Cash,App,0,D0664,C000298,5,Friday,16-02-2024,February,UberXL
297,Chennai,19-01-2024 07:25,Anna Nagar, 13.08 , 80.20 ,Anna Nagar, 13.08 , 80.20 ,0.82,13, 44.97 ,Cash,App,0,D0011,C000450,7,Friday,19-01-2024,January,Uber Go
1002,Chennai,18-02-2024 14:48,Ambattur, 13.10 , 80.17 ,Thiruvanmiyur, 12.97 , 80.26 ,18.26,48, 405.40 ,Card,App,0,D0066,C002687,14,Sunday,18-02-2024,February,Auto
2139,Chennai,24-02-2024 09:01,Perambur, 13.10 , 80.21 ,Mylapore, 13.03 , 80.26 ,10.31,23, 211.65 ,Card,App,0,D0791,C003522,9,Saturday,24-02-2024,February,Auto
712,Chennai,22-02-2024 20:19,Sholinganallur, 12.93 , 80.23 ,Tambaram, 12.92 , 80.13 ,11.76,29, 224.99 ,Card,App,0,D0740,C002965,20,Thursday,22-02-2024,February,Bike
2802,Chennai,22-01-2024 16:52,Tambaram, 12.93 , 80.13 ,Thiruvanmiyur, 12.99 , 80.27 ,15.16,30, 357.05 ,Cash,App,0,D0796,C004447,16,Monday,22-01-2024,January,Bike
2528,Chennai,01-02-2024 06:15,Thiruvanmiyur, 12.98 , 80.26 ,T. Nagar, 13.05 , 80.23 ,8.3,16, 193.56 ,Card,App,0,D0105,C002047,6,Thursday,01-02-2024,February,Uber Go
3753,Chennai,06-01-2024 15:42,Perambur, 13.11 , 80.23 ,Velachery, 12.99 , 80.21 ,12.09,39, 212.78 ,Card,App,0,D0166,C007300,15,Saturday,06-01-2024,January,UberXL
3322,Chennai,23-02-2024 02:20,Thiruvanmiyur, 12.98 , 80.27 ,T. Nagar, 13.04 , 80.23 ,8.82,12, 184.47 ,Cash,App,0,D0018,C000321,2,Friday,23-02-2024,February,Bike
3182,Chennai,08-01-2024 04:16,Sholinganallur, 12.93 , 80.22 ,Perambur, 13.11 , 80.22 ,20.23,56, 378.93 ,Card,App,0,D0766,C006464,4,Monday,08-01-2024,January,Uber Go
4184,Chennai,08-03-2024 07:40,Velachery, 12.98 , 80.22 ,T. Nagar, 13.03 , 80.23 ,6.24,19, 159.32 ,Cash,App,0,D0056,C000682,7,Friday,08-03-2024,March,Uber Go
1616,Chennai,20-02-2024 05:40,Velachery, 12.98 , 80.22 ,Ambattur, 13.10 , 80.16 ,15.77,38, 345.37 ,Card,App,0,D0295,C007859,5,Tuesday,20-02-2024,February,Bike
3025,Chennai,27-03-2024 08:44,T. Nagar, 13.05 , 80.24 ,Madhavaram, 13.14 , 80.22 ,10.26,38, 202.68 ,UPI,Call,0,D0663,C005022,8,Wednesday,27-03-2024,March,Uber Go
1414,Chennai,21-02-2024 19:27,Anna Nagar, 13.10 , 80.19 ,Velachery, 12.98 , 80.23 ,13.52,32, 259.87 ,UPI,Call,0,D0704,C007019,19,Wednesday,21-02-2024,February,Bike
764,Chennai,16-02-2024 03:49,Kodambakkam, 13.07 , 80.22 ,Sholinganallur, 12.92 , 80.22 ,15.39,55, 340.70 ,Card,App,0,D0754,C002521,3,Friday,16-02-2024,February,Auto
656,Chennai,07-02-2024 11:24,Thiruvanmiyur, 12.98 , 80.27 ,Perambur, 13.12 , 80.22 ,16.3,43, 371.40 ,Card,App,0,D0220,C001723,11,Wednesday,07-02-2024,February,Auto
4798,Chennai,16-01-2024 16:53,Anna Nagar, 13.08 , 80.20 ,Velachery, 12.99 , 80.22 ,16.3,40, 257.79 ,Cash,App,0,D0346,C003195,16,Tuesday,16-01-2024,January,Uber Go
3850,Chennai,02-03-2024 05:41,Velachery, 12.99 , 80.23 ,Thiruvanmiyur, 12.99 , 80.27 ,3.59,22, 95.53 ,Card,App,0,D0775,C000105,5,Saturday,02-03-2024,March,Uber Go
4154,Chennai,02-01-2024 11:25,Velachery, 12.99 , 80.22 ,Madhavaram, 13.15 , 80.22 ,18.27,39, 318.67 ,Cash,App,0,D0298,C006683,11,Tuesday,02-01-2024,January,Uber Go
469,Chennai,22-01-2024 09:48,Madhavaram, 13.15 , 80.22 ,Sholinganallur, 12.93 , 80.23 ,25.56,68, 437.87 ,Card,Call,1,D0740,C003944,9,Monday,22-01-2024,January,Uber Go
158,Chennai,13-01-2024 17:01,Thiruvanmiyur, 12.98 , 80.27 ,T. Nagar, 13.04 , 80.23 ,8.36,22, 169.59 ,Card,App,0,D0466,C005776,17,Saturday,13-01-2024,January,Auto
1296,Chennai,12-02-2024 17:24,T. Nagar, 13.04 , 80.23 ,Ambattur, 13.10 , 80.16 ,9.98,22, 215.84 ,UPI,App,0,D0112,C000382,17,Monday,12-02-2024,February,Auto
498,Chennai,28-02-2024 18:07,Adyar, 13.01 , 80.24 ,Anna Nagar, 13.08 , 80.20 ,8.31,16, 190.04 ,UPI,App,0,D0049,C004745,18,Wednesday,28-02-2024,February,Bike
4741,Chennai,06-02-2024 20:50,Perambur, 13.12 , 80.22 ,Anna Nagar, 13.08 , 80.21 ,4.82,13, 101.51 ,UPI,App,0,D0633,C006794,20,Tuesday,06-02-2024,February,Uber Go
2941,Chennai,15-02-2024 03:58,Mylapore, 13.02 , 80.27 ,Sholinganallur, 12.92 , 80.23 ,11.41,27, 209.30 ,Card,App,0,D0336,C006149,3,Thursday,15-02-2024,February,Uber Go
3457,Chennai,16-01-2024 12:29,Kodambakkam, 13.06 , 80.21 ,Mylapore, 13.03 , 80.27 ,8.46,22, 186.21 ,Cash,App,0,D0069,C001658,12,Tuesday,16-01-2024,January,Auto
374,Chennai,10-01-2024 22:42,Velachery, 12.98 , 80.22 ,Velachery, 12.98 , 80.22 ,0.5,10, 51.24 ,Card,App,0,D0413,C006907,22,Wednesday,10-01-2024,January,Auto
80,Chennai,18-01-2024 12:03,Velachery, 12.99 , 80.21 ,Anna Nagar, 13.09 , 80.21 ,11.74,37, 233.45 ,Card,App,1,D0090,C006047,12,Thursday,18-01-2024,January,Uber Go
1554,Chennai,24-03-2024 02:19,Besant Nagar, 12.99 , 80.26 ,Tambaram, 12.94 , 80.13 ,16.29,41, 376.62 ,Card,App,0,D0277,C005976,2,Sunday,24-03-2024,March,Uber Go
1670,Chennai,07-02-2024 07:36,T. Nagar, 13.03 , 80.24 ,Perambur, 13.12 , 80.23 ,9.99,32, 222.48 ,Cash,App,0,D0412,C005249,7,Wednesday,07-02-2024,February,Uber Go
2132,Chennai,27-02-2024 14:58,Tambaram, 13.03 , 80.13 ,Velachery, 12.99 , 80.21 ,11.32,17, 284.16 ,Cash,App,1,D0133,C001311,14,Tuesday,27-02-2024,February,Uber Go
4440,Chennai,09-01-2024 07:55,Adyar, 13.01 , 80.13 ,T. Nagar, 13.05 , 80.23 ,3.43,9, 108.00 ,Cash,App,0,D0444,C006938,7,Tuesday,09-01-2024,January,Uber Go
466,Chennai,07-01-2024 04:27,Adyar, 13.01 , 80.25 ,Madhavaram, 13.14 , 80.22 ,13.77,33, 307.67 ,Card,App,0,D0267,C001823,4,Sunday,07-01-2024,January,Auto
249,Chennai,01-01-2024 01:14,Besant Nagar, 12.98 , 80.25 ,T. Nagar, 13.06 , 80.22 ,9.88,16, 178.96 ,Card,Call,0,D0641,C004114,1,Monday,01-01-2024,January,Auto
932,Chennai,14-01-2024 17:29,Anna Nagar, 13.09 , 80.21 ,Sholinganallur, 12.94 , 80.21 ,16.95,33, 323.08 ,UPI,App,1,D0637,C004529,17,Sunday,14-01-2024,January,UberXL
1336,Chennai,17-02-2024 13:34,Ambattur, 13.11 , 80.16 ,Tambaram, 12.93 , 80.12 ,20.53,46, 367.04 ,Cash,App,1,D0765,C002371,13,Saturday,17-02-2024,February,Uber Go
4525,Chennai,14-03-2024 04:31,Sholinganallur, 12.91 , 80.23 ,Madhavaram, 13.16 , 80.23 ,27.64,77, 523.17 ,Card,App,0,D0419,C002845,4,Thursday,14-03-2024,March,Uber Go
1339,Chennai,23-03-2024 16:39,T. Nagar, 12.91 , 80.22 ,Thiruvanmiyur, 12.98 , 80.26 ,7.56,22, 135.42 ,Cash,Call,1,D0672,C002117,16,Saturday,23-03-2024,March,UberXL
1407,Chennai,06-01-2024 10:16,Perambur, 13.11 , 80.23 ,Adyar, 13.02 , 80.25 ,10.96,13, 181.28 ,Cash,App,0,D0621,C002402,10,Saturday,06-01-2024,January,Auto
1091,Chennai,23-03-2024 15:36,Tambaram, 12.93 , 80.13 ,Tambaram, 12.92 , 80.12 ,2.88,5, 77.75 ,Card,App,1,D0242,C006545,15,Saturday,23-03-2024,March,Uber Go
4210,Chennai,15-03-2024 10:56,Velachery, 12.98 , 80.22 ,Velachery, 12.99 , 80.22 ,1.44,5, 62.12 ,Cash,App,0,D0416,C001038,10,Friday,15-03-2024,March,UberXL
743,Chennai,06-03-2024 11:37,Guindy, 13.01 , 80.21 ,Thiruvanmiyur, 12.99 , 80.28 ,8.45,27, 211.95 ,Cash,App,0,D0594,C003253,11,Wednesday,06-03-2024,March,Uber Go
2324,Chennai,02-03-2024 18:10,Sholinganallur, 12.93 , 80.21 ,Adyar, 13.01 , 80.25 ,9.25,20, 165.97 ,Cash,App,0,D0174,C007024,18,Saturday,02-03-2024,March,UberXL
3602,Chennai,22-01-2024 04:38,Kodambakkam, 13.07 , 80.21 ,Anna Nagar, 13.09 , 80.20 ,1.05,18, 41.40 ,Cash,App,0,D0628,C000964,4,Monday,22-01-2024,January,Bike
2124,Chennai,08-01-2024 08:29,Velachery, 12.99 , 80.21 ,Velachery, 12.98 , 80.21 ,0.5,5, 40.00 ,Card,App,0,D0396,C003050,8,Monday,08-01-2024,January,Uber Go
2095,Chennai,21-01-2024 03:58,Velachery, 12.98 , 80.22 ,Tambaram, 12.93 , 80.14 ,10.5,19, 195.16 ,Cash,App,0,D0577,C001966,3,Sunday,21-01-2024,January,UberXL
241,Chennai,10-03-2024 09:43,Guindy, 13.01 , 80.21 ,Anna Nagar, 13.09 , 80.21 ,9.91,24, 196.62 ,Card,App,0,D0502,C006962,9,Sunday,10-03-2024,March,Uber Go
2352,Chennai,16-01-2024 23:48,Velachery, 12.98 , 80.22 ,Madhavaram, 13.13 , 80.23 ,17.48,42, 355.63 ,Card,App,0,D0363,C002499,23,Tuesday,16-01-2024,January,Bike
1371,Chennai,03-03-2024 17:57,Besant Nagar, 12.98 , 80.25 ,Chromepet, 12.95 , 80.14 ,13.64,25, 278.96 ,Cash,App,0,D0497,C003588,17,Sunday,03-03-2024,March,UberXL
1058,Chennai,14-01-2024 20:53,Guindy, 13.02 , 80.21 ,Guindy, 13.02 , 80.21 ,2.23,5, 61.12 ,Cash,Call,0,D0151,C004946,20,Sunday,14-01-2024,January,Uber Go
4817,Chennai,04-03-2024 02:50,Thiruvanmiyur, 12.98 , 80.27 ,Guindy, 13.01 , 80.22 ,5.34,16, 135.75 ,Cash,App,0,D0683,C006373,2,Monday,04-03-2024,March,Uber Go
200,Chennai,26-03-2024 18:46,Chromepet, 12.96 , 80.14 ,Kodambakkam, 13.06 , 80.22 ,13.11,35, 239.58 ,Cash,App,1,D0269,C002920,18,Tuesday,26-03-2024,March,UberXL
2281,Chennai,18-02-2024 06:51,Anna Nagar, 13.08 , 80.21 ,Madhavaram, 13.15 , 80.23 ,7.73,29, 191.98 ,Card,App,0,D0425,C000478,6,Sunday,18-02-2024,February,UberXL
4750,Chennai,08-03-2024 02:50,Adyar, 13.01 , 80.24 ,Adyar, 13.01 , 80.24 ,1.21,13, 52.58 ,Card,App,0,D0610,C006911,2,Friday,08-03-2024,March,Uber Go
2221,Chennai,16-02-2024 04:27,Perambur, 13.12 , 80.21 ,Thiruvanmiyur, 12.98 , 80.27 ,17.86,38, 348.92 ,UPI,App,1,D0409,C004326,4,Friday,16-02-2024,February,UberXL
